date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:24:23	7745/7745	---MCZ	200	added ('OK')	text/html	etag:%22c92e7d4688e1160878a167bde51cbba3%22	http://www.portnine.com/	C:/My%20Web%20Sites/portline/www.portnine.com/index.html	(from )
17:24:25	27574/27574	---MCZ	200	added ('OK')	text/css	date:Wed,%2019%20Jun%202013%2003:11:01%20GMT	http://www.portnine.com/incredible/css/style.css	C:/My%20Web%20Sites/portline/www.portnine.com/incredible/css/style.css	(from )
17:24:29	93868/93868	---MC-	200	added ('OK')	text/javascript	date:Mon,%2002%20Apr%202012%2018:24:28%20GMT	http://ajax.googleapis.com/ajax/libs/jquery/1.7.1/jquery.min.js	C:/My%20Web%20Sites/portline/ajax.googleapis.com/ajax/libs/jquery/1.7.1/jquery.min.js	(from )
17:24:30	40709/40709	---MCZ	200	added ('OK')	application/javascript	date:Wed,%2019%20Jun%202013%2003:11:01%20GMT	http://www.portnine.com/incredible/js/flexslider.js	C:/My%20Web%20Sites/portline/www.portnine.com/incredible/js/flexslider.js	(from )
17:24:31	15876/15876	---MCZ	200	added ('OK')	application/javascript	date:Wed,%2019%20Jun%202013%2003:11:01%20GMT	http://www.portnine.com/incredible/js/jquery.isotope.min.js	C:/My%20Web%20Sites/portline/www.portnine.com/incredible/js/jquery.isotope.min.js	(from )
17:24:34	11630/11630	---MCZ	200	added ('OK')	application/javascript	date:Wed,%2019%20Jun%202013%2003:11:01%20GMT	http://www.portnine.com/incredible/js/custom.js	C:/My%20Web%20Sites/portline/www.portnine.com/incredible/js/custom.js	(from )
17:24:37	6539/6539	---MCZ	200	added ('OK')	application/javascript	date:Wed,%2019%20Jun%202013%2003:11:01%20GMT	http://www.portnine.com/incredible/js/ender.min.js	C:/My%20Web%20Sites/portline/www.portnine.com/incredible/js/ender.min.js	(from )
17:24:38	3409/3409	---MCZ	200	added ('OK')	application/javascript	date:Wed,%2019%20Jun%202013%2003:11:01%20GMT	http://www.portnine.com/incredible/js/selectnav.js	C:/My%20Web%20Sites/portline/www.portnine.com/incredible/js/selectnav.js	(from )
17:24:41	24762/24762	---MCZ	200	added ('OK')	application/javascript	date:Wed,%2019%20Jun%202013%2003:11:01%20GMT	http://www.portnine.com/incredible/js/imagebox.min.js	C:/My%20Web%20Sites/portline/www.portnine.com/incredible/js/imagebox.min.js	(from )
17:24:44	15181/15181	---MCZ	200	added ('OK')	application/javascript	date:Wed,%2019%20Jun%202013%2003:11:01%20GMT	http://www.portnine.com/incredible/js/carousel.js	C:/My%20Web%20Sites/portline/www.portnine.com/incredible/js/carousel.js	(from )
17:24:45	1684/1684	---MCZ	200	added ('OK')	application/javascript	date:Wed,%2019%20Jun%202013%2003:11:01%20GMT	http://www.portnine.com/incredible/js/twitter.js	C:/My%20Web%20Sites/portline/www.portnine.com/incredible/js/twitter.js	(from )
17:24:48	8288/8288	---MCZ	200	added ('OK')	application/javascript	date:Wed,%2019%20Jun%202013%2003:11:01%20GMT	http://www.portnine.com/incredible/js/tooltip.js	C:/My%20Web%20Sites/portline/www.portnine.com/incredible/js/tooltip.js	(from )
17:24:49	2971/2971	---MCZ	200	added ('OK')	application/javascript	date:Wed,%2019%20Jun%202013%2003:11:01%20GMT	http://www.portnine.com/incredible/js/popover.js	C:/My%20Web%20Sites/portline/www.portnine.com/incredible/js/popover.js	(from )
17:24:56	24319/24319	---MCZ	200	added ('OK')	application/javascript	date:Wed,%2019%20Jun%202013%2003:11:01%20GMT	http://www.portnine.com/incredible/js/effects.js	C:/My%20Web%20Sites/portline/www.portnine.com/incredible/js/effects.js	(from )
17:24:59	5360/5360	---MCZ	200	added ('OK')	text/html	etag:%224d069536bceda2a98a7673029ae6a536%22	http://www.portnine.com/contact	C:/My%20Web%20Sites/portline/www.portnine.com/contact.html	(from )
17:25:01	4174/4174	---MCZ	200	added ('OK')	text/html	etag:%22c3e5558dc291a885be305030846beb33%22	http://www.portnine.com/login	C:/My%20Web%20Sites/portline/www.portnine.com/login.html	(from )
17:25:13	25524/25524	---M--	200	added ('OK')	image/png	date:Wed,%2019%20Jun%202013%2003:11:01%20GMT	http://www.portnine.com/incredible/images/slider_img_03.png	C:/My%20Web%20Sites/portline/www.portnine.com/incredible/images/slider_img_03.png	(from )
17:25:13	3082/3082	---M--	200	added ('OK')	image/png	date:Wed,%2019%20Jun%202013%2003:11:01%20GMT	http://www.portnine.com/incredible/images/features_ico_02.png	C:/My%20Web%20Sites/portline/www.portnine.com/incredible/images/features_ico_02.png	(from )
17:25:15	3005/3005	---M--	200	added ('OK')	image/png	date:Wed,%2019%20Jun%202013%2003:11:01%20GMT	http://www.portnine.com/incredible/images/features_ico_01.png	C:/My%20Web%20Sites/portline/www.portnine.com/incredible/images/features_ico_01.png	(from )
17:25:18	168559/168559	---M--	200	added ('OK')	image/png	date:Wed,%2019%20Jun%202013%2003:11:01%20GMT	http://www.portnine.com/images/iphone2.png	C:/My%20Web%20Sites/portline/www.portnine.com/images/iphone2.png	(from )
17:25:20	2942/2942	---M--	200	added ('OK')	image/png	date:Wed,%2019%20Jun%202013%2003:11:01%20GMT	http://www.portnine.com/incredible/images/features_ico_05.png	C:/My%20Web%20Sites/portline/www.portnine.com/incredible/images/features_ico_05.png	(from )
17:25:23	3153/3153	---M--	200	added ('OK')	image/png	date:Wed,%2019%20Jun%202013%2003:11:01%20GMT	http://www.portnine.com/incredible/images/features_ico_06.png	C:/My%20Web%20Sites/portline/www.portnine.com/incredible/images/features_ico_06.png	(from )
17:25:28	2900/2900	---M--	200	added ('OK')	image/png	date:Wed,%2019%20Jun%202013%2003:11:01%20GMT	http://www.portnine.com/incredible/images/features_ico_03.png	C:/My%20Web%20Sites/portline/www.portnine.com/incredible/images/features_ico_03.png	(from )
17:25:30	492/492	---M--	200	added ('OK')	application/javascript	date:Wed,%2019%20Jun%202013%2003:11:01%20GMT	http://www.portnine.com/incredible/js/imagebox.build.js	C:/My%20Web%20Sites/portline/www.portnine.com/incredible/js/imagebox.build.js	(from )
17:25:37	10085/10085	---MCZ	200	added ('OK')	text/css	date:Wed,%2019%20Jun%202013%2003:11:01%20GMT	http://www.portnine.com/incredible/css/skeleton.css	C:/My%20Web%20Sites/portline/www.portnine.com/incredible/css/skeleton.css	(from http://www.portnine.com/)
17:25:41	5553/5553	---MCZ	200	added ('OK')	text/css	date:Wed,%2019%20Jun%202013%2003:11:01%20GMT	http://www.portnine.com/incredible/css/flexslider.css	C:/My%20Web%20Sites/portline/www.portnine.com/incredible/css/flexslider.css	(from http://www.portnine.com/)
17:25:45	11431/11431	---MCZ	200	added ('OK')	text/css	date:Wed,%2019%20Jun%202013%2003:11:01%20GMT	http://www.portnine.com/incredible/css/pricing_tables.css	C:/My%20Web%20Sites/portline/www.portnine.com/incredible/css/pricing_tables.css	(from http://www.portnine.com/)
17:25:47	4423/4423	---MCZ	200	added ('OK')	text/css	date:Wed,%2019%20Jun%202013%2003:11:01%20GMT	http://www.portnine.com/incredible/css/imagebox.css	C:/My%20Web%20Sites/portline/www.portnine.com/incredible/css/imagebox.css	(from http://www.portnine.com/)
17:25:54	28565/28565	---MCZ	200	added ('OK')	text/css	date:Wed,%2019%20Jun%202013%2003:11:01%20GMT	http://www.portnine.com/incredible/css/shortcodes.css	C:/My%20Web%20Sites/portline/www.portnine.com/incredible/css/shortcodes.css	(from http://www.portnine.com/)
17:25:55	2824/2824	---M--	200	added ('OK')	image/png	date:Wed,%2019%20Jun%202013%2003:11:01%20GMT	http://www.portnine.com/incredible/images/overlay.png	C:/My%20Web%20Sites/portline/www.portnine.com/incredible/images/overlay.png	(from http://www.portnine.com/)
17:26:00	2869/2869	---M--	200	added ('OK')	image/png	date:Wed,%2019%20Jun%202013%2003:11:01%20GMT	http://www.portnine.com/incredible/images/back_to_top_btn.png	C:/My%20Web%20Sites/portline/www.portnine.com/incredible/images/back_to_top_btn.png	(from http://www.portnine.com/)
17:26:03	2797/2797	---M--	200	added ('OK')	image/png	date:Wed,%2019%20Jun%202013%2003:11:01%20GMT	http://www.portnine.com/incredible/images/filter_divider.png	C:/My%20Web%20Sites/portline/www.portnine.com/incredible/images/filter_divider.png	(from http://www.portnine.com/)
